"name","state","year","sbprim","sbsec","bac08","pbt","admin","txt","hha","hhlearn","intlck1","intlck15","intlck2","mlda21","totpop","avgage","pcinc","income","lim70","totfat","occfat","noccfat","milrur","milurb","vmtrur","vmturb","fueltax","laborfrc2","emp2","unemp2","unemprte","vcrimetot","pcrimetot","vcrimerte","pcrimerte","rurdense","urbdense","fatalities_per_100k","occfat_per_100k","noccfat_per_100k","log_totfat","log_pop","total_vmt","first_year_lim70","rel_year","lead_6_plus","lead_5","lead_4","lead_3","lead_2","lag_0","lag_1","lag_2","lag_3","lag_4","lag_5","lag_6_plus"
"Alabama","AL",2007,1,0,1,0,1,0,0,0,0,0,0,1,4672840,37.3681602478027,32765,153104016,1,1110,1030,80,75300,22023,29793,31617,18,2183000,2096000,87000,4,20775,184082,448.899993896484,3977.69995117188,0.395657360553741,1.43563544750214,23.7542907525188,22.0422697973823,1.71202095513649,7.01211529430638,15.3572775818497,61410,1995,12,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2011,1,0,1,0,1,1,0,1,0,0,0,1,4786486,38.0406799316406,34929,167786623,1,895,807,88,76416,25252,30358,34556,18,2224000,2006000,218000,9.80000019073486,20166,173192,419.799987792969,3605.39990234375,0.397272825241089,1.36844611167908,18.6984773380722,16.8599678344405,1.83850950363168,6.79682371827486,15.3813070884713,64914,1995,16,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1996,0,1,1,0,0,0,0,0,0,0,0,1,4291110,36.3851318359375,20537,88949009,1,1146,1054,92,73224,20116,25865,25568,18,NA,NA,NA,5.11999988555908,24159,181803,565.400024414062,4254.7001953125,0.353231191635132,1.2710280418396,26.7063766717702,24.5624092600749,2.14396741169534,7.04403289727469,15.2720559986952,51433,1995,1,0,0,0,0,0,0,1,0,0,0,0,0
"Alabama","AL",1993,0,1,0,0,0,0,0,0,0,0,0,1,4191879,35.9482536315918,18070,76150809,0,1044,956,88,72828,19381,23619,23718,18,NA,NA,NA,7.61999988555908,32676,171598,780.400024414062,4098.39990234375,0.324312090873718,1.22377586364746,24.9052990317707,22.8060017953763,2.09929723639447,6.95081476844258,15.2486596400626,47337,1995,-2,0,0,0,0,1,0,0,0,0,0,0,0
"Alabama","AL",2010,1,0,1,0,1,1,0,1,0,0,0,1,4785298,37.8163375854492,33905,162228293,1,862,794,68,76384,25190,30569,33596,18,2180000,1952000,228000,10.5,18363,168828,383.700012207031,3528,0.400201618671417,1.33370387554169,18.013507204776,16.5924880749328,1.42101912984312,6.75925527066369,15.3810588588819,64165,1995,15,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1995,0,1,1,0,0,0,0,0,0,0,0,1,4270460,36.2057456970215,19843,85261242,1,1114,1033,81,73227,20086,25698,24930,18,NA,NA,NA,6.28000020980835,26894,179294,632.400024414062,4215.7001953125,0.350936144590378,1.2411630153656,26.086182753146,24.1894315834828,1.89675116966322,7.01571242048723,15.2672321077398,50628,1995,0,0,0,0,0,0,1,0,0,0,0,0,0
"Alabama","AL",1990,0,0,0,0,0,0,0,0,0,0,0,1,4048378,35.6229248046875,15810,64030925,0,1121,1011,110,73818,16854,22586,19761,13,NA,NA,NA,6.86999988555908,28630,169974,708.599975585938,4206.7001953125,0.305968731641769,1.17248129844666,27.6901020606277,24.9729644810835,2.7171375795442,7.02197642307216,15.2138268650365,42347,1995,-5,0,1,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1983,0,0,0,0,0,0,0,0,0,0,0,0,3934103,34.2006454467773,9852,38757480,0,930,808,122,73607,13991,16415,14617,11,NA,NA,NA,13.6400003433228,16471,145890,416,3685,0.223008677363396,1.04474306106567,23.6394420786644,20.5383539780224,3.101088100642,6.8351845861473,15.1851934595914,31032,1995,-12,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",1994,0,1,0,0,0,0,0,0,0,0,0,1,4239262,36.0920104980469,18925,80624474,0,1083,993,90,72963,20069,24541,24415,18,NA,NA,NA,6.01000022888184,28844,178015,683.700012207031,4219.39990234375,0.336348563432693,1.21655285358429,25.5468994367416,23.4238884032174,2.12301103352423,6.98749024700099,15.2598997554548,48956,1995,-1,0,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",2006,1,0,1,0,1,0,0,0,0,0,0,1,4628981,37.2458877563477,31606,146303967,1,1207,1116,91,74675,21845,29492,30922,18,2201000,2110000,91000,4.09999990463257,19553,181249,425.200012207031,3941,0.394938051700592,1.41551840305328,26.0748531912315,24.1089777642207,1.96587542701083,7.09589322109753,15.3478473154468,60414,1995,11,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1991,0,0,0,0,0,0,0,0,0,0,0,1,4089884,35.6887359619141,16493,67609367,0,1116,1001,115,73838,16865,22577,20347,13,NA,NA,NA,7.25,34518,184882,844.200012207031,4521.39990234375,0.305763959884644,1.206463098526,27.2868374750971,24.475021785459,2.81181568963814,7.01750614294126,15.2240271657586,42924,1995,-4,0,0,1,0,0,0,0,0,0,0,0,0
"Alabama","AL",2005,1,0,1,0,1,0,0,0,0,0,0,1,4569805,37.1100425720215,30188,137952255,1,1148,1060,88,74418,21627,29409,30252,18,2179000,2086000,92000,4.19999980926514,19678,177393,433,3900,0.39518666267395,1.39880704879761,25.1214220300429,23.1957381113636,1.92568391867924,7.04577657687951,15.3349810923758,59661,1995,10,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",1989,0,0,0,0,0,0,0,0,0,0,0,1,4030224,35.3278579711914,14957,60280625,0,1029,929,100,73691,16844,21789,18976,13,NA,NA,NA,7.03000020980835,24329,166244,590.799987792969,4037,0.295680612325668,1.1265732049942,25.5320796064933,23.0508279440547,2.48125166243861,6.93634273583405,15.2093325155047,40765,1995,-6,1,0,0,0,0,0,0,0,0,0,0,0
"Alabama","AL",2009,1,0,1,0,1,0,0,0,0,0,0,1,4757938,37.6474761962891,32930,156677574,1,848,776,72,75390,21935,30372,30927,18,2151000,1911000,240000,11.1999998092651,21194,178007,450.100006103516,3780.39990234375,0.40286511182785,1.40993845462799,17.8228467878312,16.3095862115059,1.51326057632529,6.7428806357919,15.375324939075,61299,1995,14,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2004,1,0,1,0,1,0,0,0,0,0,0,1,4530729,36.9619827270508,28861,130761503,1,1154,1067,87,73963,21523,30077,28958,18,2179000,2053000,126000,5.80000019073486,19324,182340,427,4029.30004882812,0.406649261713028,1.34544444084167,25.4705147891211,23.5502940034595,1.92022078566165,7.05098944706805,15.3263934116641,59035,1995,9,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2001,1,0,1,0,1,0,0,0,0,0,0,1,4467634,36.4985275268555,25540,114105566,1,991,916,75,73736,20705,29241,27528,18,2148000,2033000,114000,5.30000019073486,19582,173253,438.200012207031,3876.80004882812,0.396563410758972,1.3295339345932,22.1817633225998,20.5030224051478,1.67874091745206,6.89871453432999,15.3123695199699,56769,1995,6,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2003,1,0,1,0,1,0,0,0,0,0,0,1,4503491,36.8208694458008,27115,122113945,1,1004,927,77,73476,20958,30158,28479,18,2147000,2023000,125000,5.80000019073486,19331,182241,429.200012207031,4046.39990234375,0.41044694185257,1.35886061191559,22.2938160640268,20.5840313658893,1.70978469813751,6.91174730025167,15.3203634317583,58637,1995,8,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama","AL",2002,1,0,1,0,1,0,0,0,0,0,0,1,4480089,36.6627426147461,26145,117131204,1,1038,970,68,73466,20969,29231,28284,18,2103000,1978000,124000,5.90000009536743,19931,180400,445,4027.80004882812,0.397884726524353,1.34884834289551,23.1691825765069,21.6513555869091,1.51782698959775,6.94505106372583,15.3151534702653,57515,1995,7,0,0,0,0,0,0,0,0,0,0,0,1
"Alaska","AK",1983,0,0,0,0,1,0,0,0,0,0,0,1,488417,28.2349662780762,19180,9367743,0,150,126,24,7435,1337,2117,1241,8,NA,NA,NA,10.2700004577637,2940,25889,613.799987792969,5404.7998046875,0.28473436832428,0.92819744348526,30.7114617222578,25.7976278466966,4.91383387556125,5.01063529409626,13.0989248281477,3358,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
