"outcome","cutoff","estimate_conventional","se_conventional","ci95_low_conventional","ci95_high_conventional","bandwidth_left","bandwidth_right","n_left","n_right"
"avgmath",40,2.93878213732279,3.75269130204832,-4.41635765978863,10.2939219344342,7.90102952488183,7.90102952488183,70,172
"avgverb",40,3.62340111896489,3.70605473035723,-3.64033267726958,10.8871349151994,8.18628219557902,8.18628219557902,79,198
