model,term,estimate,std_error,statistic,p_value,n,r_squared,adj_r_squared
Pooled OLS + year FE,pol_lib,228.96546738607063,55.20336942870428,4.147671958353591,3.8369516244324766e-5,623,0.028078593426109737,0.005698824195789931
Within/LSDV: country FE + year FE,pol_lib,-0.18827651582698537,14.112996311935511,-0.013340647986123111,0.9893607362533992,623,0.9724903380057502,0.9696613302120154
