model,term,estimate,std_error,statistic,p_value,n,r_squared,adj_r_squared
Population-weighted pooled OLS + year FE,pol_lib,179.30455747321628,40.216757925322256,4.458453806897203,9.832200561782885e-6,623,0.03388750051447292,0.011641489013161421
Population-weighted country FE + year FE,pol_lib,-2.895316756138974,6.921663829048951,-0.41829780059353094,0.6758886213628192,623,0.9861513316609506,0.9847271778246653
