leadlag,weighted_mean_residual,total_population,country_years
-5,48.53793115915247,345926177,36
-4,15.899583559079945,442347415,38
-3,-1.8389236866113037,457267770,39
-2,-15.05671537244519,470694485,39
-1,-0.0019751026380212923,484530899,39
0,-2.681934937855483,498491689,39
1,8.064014391324577,511100478,39
2,12.120841761911281,521528455,38
3,19.95516048449662,480386526,32
4,5.019094472263718,458932106,30
5,-24.87668153735653,328657707,25
